Age,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Mood Score,Stress Level,Year,Month,Day,Gender_Male,Gender_Other,Productivity Class
32,23.33,4.61,5.28,3,86,87,116,8.80892009394567,3,6,2024,4,12,0.0,1.0,1
41,21.02,2.43,5.41,5,32,21,88,6.329833121584335,3,7,2024,11,4,0.0,0.0,1
20,22.1,3.45,5.35,7,17,88,59,8.506305742764315,9,10,2024,8,31,1.0,0.0,1
37,23.1,6.65,7.55,8,46,34,80,6.070239852800135,4,2,2024,2,22,0.0,1.0,1
46,21.42,4.17,6.75,10,61,269,94,11.374993880184936,7,9,2024,2,23,0.0,1.0,1
38,21.77,6.41,8.64,10,88,251,123,6.207993456180347,9,7,2024,7,8,1.0,0.0,0
18,22.83,6.87,8.03,3,34,288,122,4.592357213872723,10,9,2024,1,9,0.0,1.0,1
26,20.78,3.14,6.35,8,36,98,171,9.100459770841706,1,3,2024,1,28,0.0,0.0,0
31,20.07,3.37,7.31,7,26,206,14,4.887126566494651,7,1,2024,4,10,0.0,1.0,0
49,20.37,3.89,7.52,4,12,159,70,6.318011623310144,2,10,2024,2,21,0.0,0.0,0
45,21.17,3.29,6.12,7,88,230,128,5.8234813003355335,4,9,2024,2,14,0.0,0.0,1
23,20.6,4.56,7.96,10,43,151,58,6.585623456166042,9,4,2024,9,15,0.0,1.0,1
29,22.02,6.08,8.06,5,55,80,112,11.812919646661223,7,5,2024,4,22,0.0,0.0,0
18,21.02,4.17,7.15,10,31,197,159,8.741573791035147,8,1,2024,8,11,0.0,1.0,1
41,23.55,7.22,7.67,1,72,123,69,9.566502454327054,4,4,2024,9,11,1.0,0.0,0
36,23.67,7.62,7.95,7,81,128,10,6.728530808402068,2,7,2024,12,11,0.0,1.0,1
33,23.93,7.02,7.08,1,1,253,139,8.46634762885678,9,9,2024,10,24,0.0,0.0,1
20,23.53,7.24,7.71,1,71,103,83,8.645492971491638,3,9,2024,4,8,0.0,0.0,1
35,21.57,5.33,7.76,9,32,67,32,7.951149721467477,8,8,2024,12,14,0.0,0.0,0
34,23.18,6.23,7.04,6,21,237,157,11.784084438019566,6,8,2024,5,14,1.0,0.0,0
38,20.45,4.29,7.84,1,68,146,3,4.194527731451631,1,5,2024,10,9,0.0,0.0,0
41,20.75,6.08,9.33,3,59,115,159,10.809093372134855,2,9,2024,1,6,1.0,0.0,0
20,23.82,7.39,7.58,6,22,126,154,6.36232470735151,1,8,2024,8,10,0.0,0.0,1
56,21.9,4.5,6.6,2,24,12,59,8.090739190887502,4,4,2024,10,25,1.0,0.0,1
33,23.83,6.02,6.19,2,65,287,85,6.625221339797855,6,10,2024,11,16,0.0,0.0,1
59,22.88,6.07,7.19,5,7,52,59,5.726568219974745,7,4,2024,2,27,0.0,0.0,0
49,22.57,6.25,7.69,4,15,268,113,8.130402786409562,1,8,2024,9,18,0.0,0.0,0
43,21.87,2.77,4.9,9,11,128,57,11.321709821011844,6,9,2024,11,14,1.0,0.0,0
56,20.35,4.5,8.15,3,75,153,143,5.269171581139928,9,5,2024,8,24,0.0,1.0,0
22,21.78,6.32,8.53,4,32,253,100,7.188037875178988,6,5,2024,2,16,0.0,0.0,1
48,21.3,4.32,7.02,1,68,3,15,4.564549979203439,2,1,2024,4,9,0.0,0.0,1
41,22.98,4.13,5.14,3,42,100,11,7.088821102406194,8,10,2024,6,8,0.0,0.0,0
46,23.5,5.89,6.39,3,34,214,80,9.245781083045935,10,10,2024,2,12,1.0,0.0,1
24,20.82,4.46,7.64,8,35,216,20,11.74064441216198,10,5,2024,4,24,0.0,0.0,0
52,20.63,4.04,7.4,7,61,223,36,5.908774878322721,7,9,2024,7,10,0.0,0.0,1
47,20.32,4.95,8.63,6,12,186,18,7.113613429873305,3,9,2024,12,20,1.0,0.0,1
48,21.77,2.68,4.92,5,11,24,179,9.380147648616308,5,7,2024,10,10,0.0,1.0,0
59,22.22,5.46,7.25,5,34,214,74,4.936536131420847,10,10,2024,5,23,0.0,0.0,1
30,20.82,5.78,8.96,2,4,28,164,5.865824579396223,1,6,2024,9,9,0.0,0.0,1
24,20.05,2.3,6.25,3,60,181,166,7.39377607397581,3,7,2024,5,24,1.0,0.0,1
30,23.95,8.15,8.2,8,60,0,130,8.666950120777276,1,9,2024,5,5,0.0,0.0,1
55,21.95,2.51,4.56,5,79,212,163,8.430834275210566,9,2,2024,11,7,1.0,0.0,0
31,22.0,5.64,7.64,6,2,143,11,11.66961925926277,6,8,2024,2,16,0.0,1.0,1
25,23.58,6.4,6.82,10,59,177,27,4.621877095719879,4,6,2024,6,4,0.0,0.0,1
50,23.2,7.12,7.92,3,5,81,114,9.80575606710688,2,10,2024,5,24,1.0,0.0,1
22,23.53,7.92,8.39,2,48,266,84,9.996626399808576,6,1,2024,11,7,0.0,1.0,1
18,23.9,8.72,8.82,1,68,132,101,11.305326018061145,5,5,2024,4,7,1.0,0.0,1
27,20.33,3.09,6.75,1,50,172,3,5.829142444027702,8,2,2024,6,13,0.0,1.0,0
56,21.55,4.43,6.88,3,49,267,53,11.743790123518584,1,7,2024,12,13,0.0,0.0,1
38,21.17,2.73,5.56,6,63,251,37,8.86470279633508,3,2,2024,7,25,0.0,0.0,0
50,23.48,7.09,7.61,3,80,132,28,5.176587847432304,1,10,2024,11,3,0.0,1.0,1
37,21.08,4.05,6.96,3,22,182,79,5.215221548098355,8,4,2024,9,29,1.0,0.0,0
20,22.47,7.83,9.37,10,50,276,4,6.760661022579094,6,5,2024,12,25,0.0,1.0,1
29,21.55,2.69,5.14,10,44,72,25,10.39528319127234,6,8,2024,11,21,0.0,0.0,1
34,23.0,3.92,4.92,3,51,206,46,6.963776822331056,10,7,2024,12,15,0.0,0.0,0
43,22.92,4.08,5.17,3,22,237,106,8.256907882122526,10,6,2024,3,18,0.0,0.0,0
32,22.6,4.01,5.41,7,56,272,85,6.619978817423317,1,4,2024,8,14,1.0,0.0,1
20,20.28,1.22,4.93,6,33,110,7,8.692283477286072,10,9,2024,1,25,1.0,0.0,0
43,22.92,5.91,6.99,6,32,149,20,5.222873113474656,4,8,2024,4,10,0.0,0.0,1
48,23.38,4.44,5.06,2,83,219,74,10.92405700715184,6,1,2024,11,6,1.0,0.0,0
55,21.93,6.03,8.09,8,25,172,43,5.640620481195673,6,4,2024,4,3,0.0,1.0,1
50,23.77,7.8,8.04,6,36,138,99,6.565137537276114,1,6,2024,10,1,1.0,0.0,0
22,21.72,3.23,5.51,8,1,83,64,5.110598187536163,1,9,2024,6,26,0.0,1.0,1
47,20.07,4.72,8.65,2,77,136,161,5.449864529325281,1,8,2024,2,7,0.0,1.0,0
